code,title,description
ART 101,*INTRODUCTION TO THE VISUAL ARTS,"An introductory lecture course using visual materials with emphasis on methods and motivations that generate the visual experience, both past and present. (FA) (Bacc Core Course)"
ART 115,2-D CORE STUDIO,"Studio course that introduces the visual language, the elements of design, and the principles of organization. Emphasizes skills, concepts, and problem solving in the areas of two-dimensional design and color."
ART 115,2-D CORE STUDIO,"Studio course that introduces the visual language, the elements of design, and the principles of organization. Emphasizes skills, concepts, and problem solving in the areas of two-dimensional design and color."
ART 115,2-D CORE STUDIO,"Studio course that introduces the visual language, the elements of design, and the principles of organization. Emphasizes skills, concepts, and problem solving in the areas of two-dimensional design and color."
ART 117,3-D CORE STUDIO,Studio course examining three-dimensional design elements and their spatial organization. Emphasizes innovative problem solving and exposure to varied media. Gives students a sound conceptual basis to apply to more advanced media-oriented courses.
ART 121,DIGITAL CORE STUDIO,"An introductory studio art class using computers in the visual arts. Project-based exploration of digital imaging, layout, 3-D rendering, and video. Examination of the impact of digital technology on the visual arts from contemporary and historical perspectives."
ART 121,DIGITAL CORE STUDIO,"An introductory studio art class using computers in the visual arts. Project-based exploration of digital imaging, layout, 3-D rendering, and video. Examination of the impact of digital technology on the visual arts from contemporary and historical perspectives."
ART 121,DIGITAL CORE STUDIO,"An introductory studio art class using computers in the visual arts. Project-based exploration of digital imaging, layout, 3-D rendering, and video. Examination of the impact of digital technology on the visual arts from contemporary and historical perspectives."
ART 121,DIGITAL CORE STUDIO,"An introductory studio art class using computers in the visual arts. Project-based exploration of digital imaging, layout, 3-D rendering, and video. Examination of the impact of digital technology on the visual arts from contemporary and historical perspectives."
ART 121,DIGITAL CORE STUDIO,"An introductory studio art class using computers in the visual arts. Project-based exploration of digital imaging, layout, 3-D rendering, and video. Examination of the impact of digital technology on the visual arts from contemporary and historical perspectives."
ART 131,DRAWING CORE STUDIO,Introductory studio course in drawing techniques with emphasis on developing skills in perception and visual organization. Lec/studio.
ART 131,DRAWING CORE STUDIO,Introductory studio course in drawing techniques with emphasis on developing skills in perception and visual organization. Lec/studio.
ART 131,DRAWING CORE STUDIO,Introductory studio course in drawing techniques with emphasis on developing skills in perception and visual organization. Lec/studio.
ART 199,SPECIAL STUDIES: SS/ STUDIO FOR ART 100,
ART 204,*INTRODUCTION TO WESTERN ART: PREHISTORY TO THE HIGH MIDDLE AGES,"A survey of the painting, sculpture, architecture, and decorative arts of Europe and the Mediterranean between the Paleolithic period and the eleventh century. (Bacc Core Course)"
ART 204,*INTRODUCTION TO WESTERN ART: PREHISTORY TO THE HIGH MIDDLE AGES,"A survey of the painting, sculpture, architecture, and decorative arts of Europe and the Mediterranean between the Paleolithic period and the eleventh century. (Bacc Core Course)"
ART 205,*INTRODUCTION TO WESTERN ART: GOTHIC TO BAROQUE,"A survey of the painting, sculpture, architecture, and decorative arts of Europe between the late Middle Ages and the seventeenth century. (Bacc Core Course)"
ART 206,*INTRODUCTION TO WESTERN ART: NEOCLASSICISM TO CONTEMPORARY,"A survey of painting, sculpture and other visual arts in the Western world from the late eighteenth century to the present. (Bacc Core Course)"
ART 208,*INTRODUCTION TO ASIAN ART,"Introduces the distinctive, yet related, aesthetic traditions of South and Southeast Asia, Inner Asia, and East Asia. It focuses on architectural sites, sculptures, and paintings from prehistory to the present. (Bacc Core Course)"
ART 215,COLOR IN THE VISUAL ARTS,"Studio course following <a href=""/search/?p=ART%20115"" data-action=""result-detail"" data-group=""code:ART 115"" >ART 115</a> and <a href=""/search/?p=ART%20117"" data-action=""result-detail"" data-group=""code:ART 117"" >ART 117</a> that examines the properties of colors and their interaction. Emphasizes problem solving and the experimental use of color."
ART 222,INTRODUCTION TO TIME-BASED ART,"Introduction to time-based media using the computer as a tool. Studio art class developing skills in video art, sound art, performance, and other time-based digital arts. Exploration of sequential, experimental, historical, and contemporary themes and the role of the audience in time-based art."
ART 234,DRAWING II: FIGURE,Drawing from the life model with emphasis on skill and conceptual awareness as well as anatomical consideration.
ART 263,DIGITAL PHOTOGRAPHY,"Introductory course in digital photography. Focus on creation of photographic images in series format. Technical camera operation will be emphasized as well as basic photographic composition, use of photographic editing software, historical grounding, and discussions of contemporary issues in photography. Students must have the use of a digital single lens reflex camera (DSLR) or mirrorless camera (with viewfinder and fully manual controls)."
ART 263,DIGITAL PHOTOGRAPHY,"Introductory course in digital photography. Focus on creation of photographic images in series format. Technical camera operation will be emphasized as well as basic photographic composition, use of photographic editing software, historical grounding, and discussions of contemporary issues in photography. Students must have the use of a digital single lens reflex camera (DSLR) or mirrorless camera (with viewfinder and fully manual controls)."
ART 263,DIGITAL PHOTOGRAPHY,"Introductory course in digital photography. Focus on creation of photographic images in series format. Technical camera operation will be emphasized as well as basic photographic composition, use of photographic editing software, historical grounding, and discussions of contemporary issues in photography. Students must have the use of a digital single lens reflex camera (DSLR) or mirrorless camera (with viewfinder and fully manual controls)."
ART 263,DIGITAL PHOTOGRAPHY,"Introductory course in digital photography. Focus on creation of photographic images in series format. Technical camera operation will be emphasized as well as basic photographic composition, use of photographic editing software, historical grounding, and discussions of contemporary issues in photography. Students must have the use of a digital single lens reflex camera (DSLR) or mirrorless camera (with viewfinder and fully manual controls)."
ART 263,DIGITAL PHOTOGRAPHY,"Introductory course in digital photography. Focus on creation of photographic images in series format. Technical camera operation will be emphasized as well as basic photographic composition, use of photographic editing software, historical grounding, and discussions of contemporary issues in photography. Students must have the use of a digital single lens reflex camera (DSLR) or mirrorless camera (with viewfinder and fully manual controls)."
ART 264,"*PHOTOGRAPHY: HISTORY, TECHNOLOGY, CULTURE AND ART","Introduction to the history of photography through aesthetic, cultural and technical contexts. This course covers the history of photography and its technologies, photography in art, some photographers and their photographs and the purposes of photography. (Bacc Core Course)"
ART 271,PRINTMAKING I,"Introduction to the basic processes of printmaking, with options among relief, lithography, intaglio, screen printing and monotype."
ART 281,PAINTING I,Introductory studio course with emphasis on basic materials and techniques in painting. (FA)
ART 291,SCULPTURE I,Studio course in basic materials and approaches used in sculpture; a foundation for further three-dimensional work. (FA)
ART 313,*ART OF JAPAN,Surveys the arts of Japan from the prehistoric period to the twentieth century. (Bacc Core Course)
ART 320,*ANCIENT GREEK ART,"Focuses on the major artistic developments in Ancient Greece from the Middle Bronze Age to 31 BCE, and especially on the city-state of Athens during the Fifth Century. (Bacc Core Course)"
ART 339,PROFESSIONAL PRACTICES FOR ARTISTS,"Examination of relevant issues and realities facing working artists today through class discussion, critical readings, gallery visits, guest lectures and panel discussions. Development of professional practices appropriate for artists and the business of art include portfolio development, writing and presentation skills, grants, contracts, exhibition opportunities and marketing strategies."
ART 340,DARKROOM PHOTOGRAPHY I,"Studio course in black-and-white film exposure and development, and printing in the darkroom. The medium of silver-based black-and-white photography is explored as a communication mode and art form. Historical, conceptual, technical and legal aspects of traditional wet processing are surveyed. Access to a single lens reflex (SLR) film camera is required. Course fee."
ART 345,INTERMEDIATE PHOTOGRAPHY,"Emphasis is on both technical and aesthetic expression of digital color photography, from initial image capture, color management to finished print along with color symbolism and composition. Exploration of narrative, sequencing and image-series concepts. Introduction to contemporary color photographers. Studio."
ART 347,PHOTOGRAPH: STUDIO LIGHTING,Practical studio class surveying the basic principles and application of light in the creation of photographs. The development of craft and technique inside the studio will be emphasized but formal and conceptual considerations related to light and photography will also be explored.
ART 348,CONCEPTS IN DIGITAL IMAGING,Approaches to non-traditional and the manipulated image in digital photography with an emphasis on producing personal imagery. Introduction to the history of the manipulated image in photography and to contemporary approaches to digital photography.
ART 367,*HISTORY OF DESIGN,"A survey of the impact of technology on the visual qualities of graphic, advertising, fashion, architecture, and industrial design from the Victorian Arts and Crafts Movement to the computer age. (Bacc Core Course)"
ART 367,*HISTORY OF DESIGN,"A survey of the impact of technology on the visual qualities of graphic, advertising, fashion, architecture, and industrial design from the Victorian Arts and Crafts Movement to the computer age. (Bacc Core Course)"
ART 379,PRINTMAKING: SCREEN PRINTING,"Studio course in screen printing with emphasis on paper stencil, drawing fluid and photo emulsion processes. Students are exposed to a range of techniques and concepts are encouraged to investigate personal motivations while making multiple color prints."
ART 381,PAINTING II: THE FIGURE,"Studio course with emphasis on painting from the live model; understanding the figure in terms of color, form and composition, the figure as symbol, implied narrative and vehicle of expression."
ART 391,SCULPTURE II,Intermediate studio course with emphasis in material research and developing greater skills and technical knowledge in sculptural fabrication processes.
ART 399,SPECIAL TOPICS: ST/ BOOK ARTS,
ART 401,RESEARCH AND SCHOLARSHIP,
ART 402,INDEPENDENT STUDY,
ART 402,INDEPENDENT STUDY,
ART 402,INDEPENDENT STUDY,
ART 402,INDEPENDENT STUDY,
ART 402,INDEPENDENT STUDY,
ART 402,INDEPENDENT STUDY,
ART 402,INDEPENDENT STUDY,
ART 402,INDEPENDENT STUDY,
ART 403,THESIS,
ART 406,PROJECTS,
ART 406,PROJECTS,
ART 410,INTERNSHIP,"A one-quarter residency with an appropriate, approved agency or organization where a student may receive practical experience related to the objectives of the Department of Art. The intern observes and produces; the work is supervised and evaluated, both by the agency and the art faculty."
ART 410,INTERNSHIP,"A one-quarter residency with an appropriate, approved agency or organization where a student may receive practical experience related to the objectives of the Department of Art. The intern observes and produces; the work is supervised and evaluated, both by the agency and the art faculty."
ART 410,INTERNSHIP,"A one-quarter residency with an appropriate, approved agency or organization where a student may receive practical experience related to the objectives of the Department of Art. The intern observes and produces; the work is supervised and evaluated, both by the agency and the art faculty."
ART 410,INTERNSHIP,"A one-quarter residency with an appropriate, approved agency or organization where a student may receive practical experience related to the objectives of the Department of Art. The intern observes and produces; the work is supervised and evaluated, both by the agency and the art faculty."
ART 422,NEW MEDIA: INTERACTIVE,"An advanced course designing digital experiences with emphasis on innovative navigation, architectural structures, theoretical, and historical issues of new media."
ART 432,"*GENDER, SEXUALITY, AND THE PHOTOGRAPHIC IMAGE","A creative and discussion-based course focusing on ways in which photography can and has addressed issues of gender and sexuality. An introduction to key concepts and intersections in Women's, Gender and Sexuality Studies; Queer Studies and photography theory. Create written and photographic responses to artworks, texts, personal experience and pop-culture. CROSSLISTED as ART 432/<a href=""/search/?p=QS%20432"" data-action=""result-detail"" data-group=""code:QS 432""  class=""notoffered"">QS 432</a>/<a href=""/search/?p=WGSS%20432"" data-action=""result-detail"" data-group=""code:WGSS 432""  class=""notoffered"">WGSS 432</a> and <a href=""/search/?p=ART%20532"" data-action=""result-detail"" data-group=""code:ART 532"" >ART 532</a>/<a href=""/search/?p=QS%20532"" data-action=""result-detail"" data-group=""code:QS 532""  class=""notoffered"">QS 532</a>/<a href=""/search/?p=WGSS%20532"" data-action=""result-detail"" data-group=""code:WGSS 532""  class=""notoffered"">WGSS 532</a>. (Bacc Core Course)"
ART 441,ADVANCED DARKROOM,Varies by section
ART 451,INTRODUCTION TO ARTS ENTREPRENEURSHIP,"Survey of the business strategies behind a successful career in the arts. Emphasizes the importance of entrepreneurial thinking, engages students with the fundamentals of the arts &quot;business&quot;, and explores ways to influence and shape the industry's future. CROSSLISTED as ART 451/<a href=""/search/?p=MUS%20451"" data-action=""result-detail"" data-group=""code:MUS 451"" >MUS 451</a>/<a href=""/search/?p=TA%20451"" data-action=""result-detail"" data-group=""code:TA 451"" >TA 451</a>. (FA)"
ART 462,DIRECTIONS AND ISSUES IN CONTEMPORARY ART,"Specialized study of current trends, developments, and critical issues, including the study of new media such as video and photography, as they manifest themselves in the contemporary art world. May be repeated with different topics. Not offered every year."
ART 475,PRINTMAKING STUDIO,"Studio workshop in relief, intaglio, lithographic, and silkscreen media on an individual project basis. Course offered 4 credits per term; maximum 20 credits."
ART 475,PRINTMAKING STUDIO,"Studio workshop in relief, intaglio, lithographic, and silkscreen media on an individual project basis. Course offered 4 credits per term; maximum 20 credits."
ART 479,PRINTMAKING: ADVANCED SCREEN PRINTING,Studio course in screen printing with an emphasis on photo emulsion processes. Students are encouraged to integrate these processes with other art-making methods in their creative work.
ART 481,PAINTING III,Varies by section
ART 491,SCULPTURE III,Development of individual interests and directions in sculpture.
ART 495,EXHIBITION DESIGN,"Participatory experience in art gallery exhibition design working in Fairbanks Gallery. Includes specialized study in visual design, lighting, and technical installation. Course offered 1 credit per term, maximum 3 credits."
ART 499,SPECIAL TOPICS: ST/PRINTMAKING STUDIO,
ART 499,SPECIAL TOPICS: ST/ PRINTMAKING STUDIO,
ART 499,SPECIAL TOPICS: ST/ SCULPTURE,
ART 499,SPECIAL TOPICS: ST/ PAINTING,
ART 499,SPECIAL TOPICS: ST/ PAINTING,
ART 499,SPECIAL TOPICS: ST/ SOUND ART,
AS 111,FOUNDATIONS OF THE AIR FORCE PART I,"The introduction to the Air Force mission and organization. Featured topics include Air Force dress and appearance stand standards; military customs and courtesies, Air Force heritage, overview of the Department of the Air Force, and Air Force core values. Basic oral and written communication will be assessed."
AS 111,FOUNDATIONS OF THE AIR FORCE PART I,"The introduction to the Air Force mission and organization. Featured topics include Air Force dress and appearance stand standards; military customs and courtesies, Air Force heritage, overview of the Department of the Air Force, and Air Force core values. Basic oral and written communication will be assessed."
AS 111,FOUNDATIONS OF THE AIR FORCE PART I,"The introduction to the Air Force mission and organization. Featured topics include Air Force dress and appearance stand standards; military customs and courtesies, Air Force heritage, overview of the Department of the Air Force, and Air Force core values. Basic oral and written communication will be assessed."
AS 120,LEADERSHIP LABORATORY,"Cadets learn officership, leadership, drill and ceremony, and customs and courtesies. Lab. Graded P/N."
AS 211,THE EVOLUTION OF AIR AND SPACE POWER 1860-1945,"Study of the development of air power, concepts, and doctrine from its beginnings to the end of World War II. Historical examples examined include balloons, dirigibles, Wright Brother's first flight, and the role of air power in World War I and II. Oral and written communication skills will be assessed."
AS 211,THE EVOLUTION OF AIR AND SPACE POWER 1860-1945,"Study of the development of air power, concepts, and doctrine from its beginnings to the end of World War II. Historical examples examined include balloons, dirigibles, Wright Brother's first flight, and the role of air power in World War I and II. Oral and written communication skills will be assessed."
AS 211,THE EVOLUTION OF AIR AND SPACE POWER 1860-1945,"Study of the development of air power, concepts, and doctrine from its beginnings to the end of World War II. Historical examples examined include balloons, dirigibles, Wright Brother's first flight, and the role of air power in World War I and II. Oral and written communication skills will be assessed."
AS 220,LEADERSHIP LABORATORY,"Cadets are placed in element leadership positions in order to know and comprehend the Air Force concepts of command, discipline, tradition, and courtesies. Lab. Graded P/N."
AS 311,"LEADERSHIP FUNDAMENTALS, TEAM BUILDING AND PROBLEM SOLVING","Emphasis on leadership and management fundamentals, team building and problem solving. Case studies are used to examine leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Unique exercises will be utilized to emphasize team building and problem solving. Oral and written communication skills will be assessed."
AS 311,"LEADERSHIP FUNDAMENTALS, TEAM BUILDING AND PROBLEM SOLVING","Emphasis on leadership and management fundamentals, team building and problem solving. Case studies are used to examine leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Unique exercises will be utilized to emphasize team building and problem solving. Oral and written communication skills will be assessed."
AS 320,LEADERSHIP LABORATORY,"Cadets are placed in line and staff leadership positions as a preparation for Air Force active duty. Cadet responsibilities include planning, organizing, directing, and controlling the activities of the cadet corps. Lab. Graded P/N."
AS 411,NATIONAL SECURITY AFFAIRS,"Emphasis on the needs for national security, evolution of American defense strategy, policy, and organization. Examination of methods for managing conflict, alliances and regional security to preserve American interests. Arms control, terrorism, and current military issues will also be addressed. Refinement of oral and written communication skills will be assessed."
AS 420,LEADERSHIP LABORATORY,"The senior-level Leadership Laboratory program places cadets in command, line, and staff positions as a preparation for commissioned Air Force service. Cadet responsibilities include planning, organizing, directing, coordinating, and controlling leadership laboratory and the activities of the cadet corps. Lab. Graded P/N."
ATS 201,*CLIMATE SCIENCE,"Physical laws governing the Earth's climate and their interactions with chemical and biological processes on land and in the atmosphere, oceans, and cryosphere. Past, present, and potential future climate changes due to natural and human causes are assessed using a variety of observations, models, and laboratory exercises. (Bacc Core Course)"
ATS 201,*CLIMATE SCIENCE,"Physical laws governing the Earth's climate and their interactions with chemical and biological processes on land and in the atmosphere, oceans, and cryosphere. Past, present, and potential future climate changes due to natural and human causes are assessed using a variety of observations, models, and laboratory exercises. (Bacc Core Course)"
ATS 201,*CLIMATE SCIENCE,"Physical laws governing the Earth's climate and their interactions with chemical and biological processes on land and in the atmosphere, oceans, and cryosphere. Past, present, and potential future climate changes due to natural and human causes are assessed using a variety of observations, models, and laboratory exercises. (Bacc Core Course)"
ATS 201,*CLIMATE SCIENCE,"Physical laws governing the Earth's climate and their interactions with chemical and biological processes on land and in the atmosphere, oceans, and cryosphere. Past, present, and potential future climate changes due to natural and human causes are assessed using a variety of observations, models, and laboratory exercises. (Bacc Core Course)"
ATS 201,*CLIMATE SCIENCE,"Physical laws governing the Earth's climate and their interactions with chemical and biological processes on land and in the atmosphere, oceans, and cryosphere. Past, present, and potential future climate changes due to natural and human causes are assessed using a variety of observations, models, and laboratory exercises. (Bacc Core Course)"
ATS 201,*CLIMATE SCIENCE,"Physical laws governing the Earth's climate and their interactions with chemical and biological processes on land and in the atmosphere, oceans, and cryosphere. Past, present, and potential future climate changes due to natural and human causes are assessed using a variety of observations, models, and laboratory exercises. (Bacc Core Course)"
ATS 295,OBSERVING CLIMATE,"One-week course taught during Spring Break at field sites near Corvallis, with ten hours of preparatory meetings on campus. Make and analyze observations of properties of the atmosphere, ocean, biosphere, and cryosphere that reflect processes relevant to regional and global climate. Serves as an introduction to upper-division course work in climate science. Field trip(s) required; transportation fee charged. Lec/lab."
ATS 301,CLIMATE DATA ANALYSIS,"Quantitative methods to characterize the physical climate system and detect change. Interpret data based on source timescale, and statistics; communicate conclusions and uncertainties regarding past climate and future changes."
ATS 301,CLIMATE DATA ANALYSIS,"Quantitative methods to characterize the physical climate system and detect change. Interpret data based on source timescale, and statistics; communicate conclusions and uncertainties regarding past climate and future changes."
ATS 310,METEOROLOGY,"The study of the atmosphere, in particular atmospheric phenomena that we experience as weather. Key physical concepts in meteorology are introduced and explored. The physics of the atmosphere necessary to understand why atmospheric phenomena occur and how these are forecast is discussed. Meteorological data from observations and models will be analyzed to explore concepts introduced in the context of the weather we experience. Lec/Lab."
ATS 310,METEOROLOGY,"The study of the atmosphere, in particular atmospheric phenomena that we experience as weather. Key physical concepts in meteorology are introduced and explored. The physics of the atmosphere necessary to understand why atmospheric phenomena occur and how these are forecast is discussed. Meteorological data from observations and models will be analyzed to explore concepts introduced in the context of the weather we experience. Lec/Lab."
ATS 401,RESEARCH,
ATS 403,THESIS,
ATS 405,READING AND CONFERENCE,
ATS 410,INTERNSHIP,Pre-career professional experience under joint faculty and employer supervision. Graded P/N.
BA 101,BUSINESS NOW,"Presents an integrated view of both established and entrepreneurial business organizations by studying their common processes and characteristics. Introduces theory and develops basic skills in the areas of management, finance, accounting and marketing. Lec/lab/rec."
BA 101,BUSINESS NOW,"Presents an integrated view of both established and entrepreneurial business organizations by studying their common processes and characteristics. Introduces theory and develops basic skills in the areas of management, finance, accounting and marketing. Lec/lab/rec."
BA 101,BUSINESS NOW,"Presents an integrated view of both established and entrepreneurial business organizations by studying their common processes and characteristics. Introduces theory and develops basic skills in the areas of management, finance, accounting and marketing. Lec/lab/rec."
BA 101,BUSINESS NOW,"Presents an integrated view of both established and entrepreneurial business organizations by studying their common processes and characteristics. Introduces theory and develops basic skills in the areas of management, finance, accounting and marketing. Lec/lab/rec."
BA 101,BUSINESS NOW,"Presents an integrated view of both established and entrepreneurial business organizations by studying their common processes and characteristics. Introduces theory and develops basic skills in the areas of management, finance, accounting and marketing. Lec/lab/rec."
BA 101,BUSINESS NOW,"Presents an integrated view of both established and entrepreneurial business organizations by studying their common processes and characteristics. Introduces theory and develops basic skills in the areas of management, finance, accounting and marketing. Lec/lab/rec."
BA 101,BUSINESS NOW,"Presents an integrated view of both established and entrepreneurial business organizations by studying their common processes and characteristics. Introduces theory and develops basic skills in the areas of management, finance, accounting and marketing. Lec/lab/rec."
BA 140,FINANCIAL LITERACY FOR COLLEGE LIFE,"Helps you learn the fundamentals of personal finance. It is crucial you are prepared to be prudent managers of your financial resources, enabling you to achieve long- and short-term financial goals and security. In addition, this course will examine how your background experiences, values, goals, and decisions can impact your financial future."
BA 140,FINANCIAL LITERACY FOR COLLEGE LIFE,"Helps you learn the fundamentals of personal finance. It is crucial you are prepared to be prudent managers of your financial resources, enabling you to achieve long- and short-term financial goals and security. In addition, this course will examine how your background experiences, values, goals, and decisions can impact your financial future."
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160H,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160H,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160H,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160H,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160H,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160H,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 160H,B-ENGAGED,Understand and accomplish college-level academic work and explore OSU resources and options that will enhance your college experience and success. Opportunity to connect with faculty and peers with common interests in a supportive learning environment.
BA 199,SPECIAL STUDIES: SS/ AUSTIN LAB,Graded P/N.
BA 210,INTERNSHIP,"Planned and supervised work experience at selected cooperating business firms. Supplementary training, conference, reports, and appraisals. Graded P/N."
BA 211,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211H,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 211H,FINANCIAL ACCOUNTING,"Accounting information from the perspective of external users, principally investors and creditors. Emphasis on the preparation and interpretation of financial statements, income recognition and determination, and asset valuation."
BA 213,MANAGERIAL ACCOUNTING,"Accounting information from the perspective of management users with an emphasis on data accumulation for product costing, planning, and performance evaluation and control."
